Autor;Ano;Número Emenda;Tipo Emenda;Valor Empenhado;UF;Função;Subfunção;Localidade do Gasto;Data do Empenho
BACELAR;2023;20234372;Comissão;R$ 2,095,025,95;BA;Saneamento Básico;Vigilância Epidemiológica;RS (UF);26/06/2023
GUILHERME MUSSI;2023;20232029;Bancada;R$ 4,005,720,26;GO;Atenção Básica à Saúde;Educação Infantil;MG (UF);25/10/2023
BACELAR;2023;20234226;Bancada;R$ 2,013,877,49;DF;Ensino Médio;Atenção Básica à Saúde;MG (UF);18/05/2023
BACELAR FILHO;2023;20238599;Individual;R$ 1,444,171,84;DF;Ensino Fundamental;Atenção Básica à Saúde;DF (UF);20/01/2023
ELICORRÊA;2023;20233422;Comissão;R$ 1,489,973,77;SC;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;GO (UF);03/10/2023
JULIO CESAR RIBEIRO;2023;20236033;Individual;R$ 1,701,189,91;SP;Atenção Básica à Saúde;Infraestrutura Urbana;DF (UF);10/01/2023
HERCÍLIO DINIZ;2023;20232319;Comissão;R$ 3,459,695,60;BA;Saneamento Básico;Segurança Pública;SC (UF);13/10/2023
BACELAR;2023;20231735;Comissão;R$ 2,434,447,83;BA;Saneamento Básico;Ensino Fundamental;MG (UF);02/07/2023
CARLOS ZARATTINI;2023;20238048;Individual;R$ 3,680,680,55;SC;Vigilância Epidemiológica;Atenção Básica à Saúde;RS (UF);03/06/2023
JULIO CESAR RIBEIRO;2023;20235147;Individual;R$ 1,906,303,84;PR;Ensino Superior;Assistência Hospitalar e Ambulatorial;MG (UF);13/06/2023
GUILHERME MUSSI FILHO;2023;20231058;Individual;R$ 4,657,566,83;SP;Ensino Superior;Educação Infantil;GO (UF);01/05/2023
HERCÍLIO DINIZ;2023;20232155;Comissão;R$ 449,996,16;GO;Ensino Superior;Educação Infantil;SP (UF);21/09/2023
BACELAR;2023;20234705;Bancada;R$ 4,234,517,53;MG;Ensino Fundamental;Saneamento Básico;MG (UF);25/02/2023
ALENCAR SANTANA;2023;20238529;Individual;R$ 4,355,851,94;PE;Vigilância Epidemiológica;Educação Infantil;BA (UF);26/11/2023
DEPUTADO ELICORRÊA;2023;20239056;Individual;R$ 1,484,298,66;RS;Ensino Superior;Saneamento Básico;BA (UF);10/11/2023
FELIPE BORNIER FILHO;2023;20237202;Individual;R$ 3,418,881,34;MG;Ensino Fundamental;Saneamento Básico;PE (UF);10/12/2023
CARLOS ZARATTINI;2023;20239873;Individual;R$ 374,282,41;PE;Vigilância Epidemiológica;Ensino Fundamental;GO (UF);20/02/2023
JULIO CESAR RIBEIRO;2023;20235752;Individual;R$ 1,287,518,51;DF;Segurança Pública;Educação Infantil;PR (UF);13/11/2023
ELICORRÊA;2023;20237593;Individual;R$ 1,214,015,66;GO;Ensino Médio;Infraestrutura Urbana;PR (UF);07/10/2023
CARLOS ZARATTINI;2023;20238999;Comissão;R$ 3,021,032,04;PE;Saneamento Básico;Ensino Superior;SP (UF);12/09/2023
ELICORRÊA;2023;20232282;Bancada;R$ 1,476,116,46;DF;Ensino Fundamental;Ensino Médio;SC (UF);11/12/2023
CARLOS ZARATTINI FILHO;2023;20235496;Individual;R$ 425,265,38;DF;Ensino Médio;Infraestrutura Urbana;MG (UF);13/04/2023
DEPUTADO EDUARDO BARBOSA;2023;20233329;Bancada;R$ 4,576,072,65;PR;Educação Infantil;Saneamento Básico;GO (UF);21/11/2023
FELIPE BORNIER;2023;20239605;Individual;R$ 466,057,79;SP;Atenção Básica à Saúde;Ensino Fundamental;RS (UF);23/06/2023
ALENCAR SANTANA FILHO;2023;20234015;Individual;R$ 1,953,659,96;RJ;Vigilância Epidemiológica;Ensino Fundamental;SP (UF);08/09/2023
HERCÍLIO DINIZ;2023;20233157;Individual;R$ 152,596,07;RJ;Educação Infantil;Ensino Fundamental;DF (UF);17/05/2023
FELIPE BORNIER;2023;20238170;Bancada;R$ 1,841,246,07;SC;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;SC (UF);15/05/2023
ALENCAR SANTANA FILHO;2023;20233946;Bancada;R$ 3,809,891,06;MG;Ensino Médio;Infraestrutura Urbana;DF (UF);07/11/2023
EDUARDO BARBOSA;2023;20237138;Bancada;R$ 1,471,660,33;PE;Saneamento Básico;Segurança Pública;DF (UF);21/09/2023
DEPUTADO HERCÍLIO DINIZ;2023;20235339;Individual;R$ 2,637,853,15;BA;Ensino Médio;Saneamento Básico;SC (UF);17/12/2023
ALENCAR SANTANA;2023;20237832;Comissão;R$ 1,621,370,88;DF;Ensino Superior;Ensino Médio;PE (UF);09/12/2023
CARLOS ZARATTINI;2023;20232379;Bancada;R$ 1,635,970,47;RS;Segurança Pública;Infraestrutura Urbana;PE (UF);21/11/2023
CARLOS ZARATTINI;2023;20235951;Comissão;R$ 1,435,520,74;SP;Assistência Hospitalar e Ambulatorial;Ensino Superior;PR (UF);11/06/2023
ELICORRÊA;2023;20235863;Bancada;R$ 431,992,88;RJ;Infraestrutura Urbana;Educação Infantil;SC (UF);27/09/2023
DANIEL ALMEIDA FILHO;2023;20238452;Bancada;R$ 1,705,443,74;DF;Ensino Fundamental;Infraestrutura Urbana;RS (UF);25/07/2023
ALENCAR SANTANA;2023;20237485;Comissão;R$ 1,707,336,08;PR;Saneamento Básico;Ensino Médio;PR (UF);03/03/2023
BACELAR;2023;20236768;Individual;R$ 1,563,167,29;SC;Educação Infantil;Infraestrutura Urbana;GO (UF);21/07/2023
DEPUTADO CARLOS ZARATTINI;2023;20233041;Bancada;R$ 3,174,837,83;SC;Atenção Básica à Saúde;Segurança Pública;DF (UF);02/03/2023
JULIO CESAR RIBEIRO FILHO;2023;20231255;Individual;R$ 1,544,508,49;PE;Vigilância Epidemiológica;Ensino Fundamental;SP (UF);02/05/2023
ALENCAR SANTANA;2023;20236955;Individual;R$ 3,646,121,60;BA;Assistência Hospitalar e Ambulatorial;Ensino Médio;PR (UF);17/03/2023
DEPUTADO ALENCAR SANTANA;2023;20239791;Individual;R$ 3,301,488,93;MG;Ensino Superior;Ensino Fundamental;PR (UF);08/04/2023
DANIEL ALMEIDA FILHO;2023;20233889;Individual;R$ 4,253,956,27;DF;Ensino Fundamental;Segurança Pública;PE (UF);03/07/2023
GUILHERME MUSSI;2023;20231856;Bancada;R$ 2,454,915,95;PR;Educação Infantil;Educação Infantil;SP (UF);03/02/2023
JULIO CESAR RIBEIRO;2023;20234084;Individual;R$ 1,750,158,09;PR;Vigilância Epidemiológica;Infraestrutura Urbana;MG (UF);10/08/2023
DEPUTADO CARLOS ZARATTINI;2023;20237307;Comissão;R$ 2,108,222,47;DF;Ensino Superior;Educação Infantil;PE (UF);01/10/2023
DEPUTADO BACELAR;2023;20234917;Bancada;R$ 3,972,213,82;GO;Educação Infantil;Assistência Hospitalar e Ambulatorial;PE (UF);06/12/2023
EDUARDO BARBOSA;2023;20239727;Individual;R$ 469,943,48;MG;Assistência Hospitalar e Ambulatorial;Ensino Superior;PE (UF);13/09/2023
FELIPE BORNIER;2023;20236372;Individual;R$ 2,560,352,10;SP;Segurança Pública;Ensino Fundamental;RS (UF);17/09/2023
GUILHERME MUSSI FILHO;2023;20238989;Individual;R$ 4,171,269,51;SC;Educação Infantil;Segurança Pública;BA (UF);19/12/2023
DEPUTADO EDUARDO BARBOSA;2023;20238676;Bancada;R$ 868,806,37;MG;Vigilância Epidemiológica;Ensino Superior;GO (UF);04/06/2023
GUILHERME MUSSI;2023;20239330;Individual;R$ 2,096,853,13;PE;Educação Infantil;Ensino Fundamental;GO (UF);27/08/2023
JULIO CESAR RIBEIRO;2023;20238112;Bancada;R$ 1,267,747,43;PE;Segurança Pública;Educação Infantil;PR (UF);25/02/2023
DEPUTADO FELIPE BORNIER;2023;20232852;Bancada;R$ 4,033,441,42;PR;Ensino Fundamental;Segurança Pública;SC (UF);11/05/2023
ELICORRÊA FILHO;2023;20232902;Individual;R$ 3,334,162,36;RJ;Vigilância Epidemiológica;Atenção Básica à Saúde;MG (UF);24/04/2023
BACELAR;2023;20233023;Individual;R$ 427,083,58;SP;Ensino Fundamental;Ensino Fundamental;RS (UF);09/02/2023
HERCÍLIO DINIZ;2023;20231132;Bancada;R$ 570,330,07;RJ;Infraestrutura Urbana;Educação Infantil;BA (UF);11/05/2023
GUILHERME MUSSI;2023;20239171;Bancada;R$ 3,516,405,07;MG;Educação Infantil;Atenção Básica à Saúde;SC (UF);28/07/2023
BACELAR FILHO;2023;20231675;Individual;R$ 3,291,047,25;BA;Ensino Superior;Infraestrutura Urbana;MG (UF);07/03/2023
DEPUTADO HERCÍLIO DINIZ;2023;20231587;Comissão;R$ 1,331,356,15;GO;Saneamento Básico;Ensino Médio;BA (UF);24/06/2023
CARLOS ZARATTINI FILHO;2023;20238040;Individual;R$ 2,896,706,47;PE;Educação Infantil;Vigilância Epidemiológica;DF (UF);09/05/2023
BACELAR;2023;20235432;Comissão;R$ 1,420,420,04;MG;Educação Infantil;Ensino Médio;PE (UF);13/09/2023
ELICORRÊA;2023;20232347;Bancada;R$ 4,378,919,06;GO;Atenção Básica à Saúde;Ensino Fundamental;RJ (UF);24/08/2023
FELIPE BORNIER;2023;20237420;Comissão;R$ 2,254,885,87;PE;Segurança Pública;Vigilância Epidemiológica;RJ (UF);10/03/2023
GUILHERME MUSSI FILHO;2023;20234328;Individual;R$ 1,165,903,54;BA;Segurança Pública;Ensino Superior;GO (UF);27/09/2023
EDUARDO BARBOSA;2023;20236802;Comissão;R$ 1,311,403,48;RS;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;BA (UF);10/10/2023
BACELAR;2023;20233932;Comissão;R$ 803,481,99;DF;Vigilância Epidemiológica;Atenção Básica à Saúde;PE (UF);12/09/2023
HERCÍLIO DINIZ FILHO;2023;20239439;Bancada;R$ 3,364,133,85;GO;Atenção Básica à Saúde;Ensino Fundamental;SC (UF);28/08/2023
CARLOS ZARATTINI;2023;20232149;Comissão;R$ 1,888,105,02;RJ;Educação Infantil;Ensino Médio;PR (UF);19/04/2023
DANIEL ALMEIDA;2023;20231539;Comissão;R$ 1,855,735,68;PR;Educação Infantil;Assistência Hospitalar e Ambulatorial;MG (UF);16/09/2023
FELIPE BORNIER;2023;20236526;Individual;R$ 3,422,431,19;PE;Saneamento Básico;Ensino Fundamental;DF (UF);17/02/2023
FELIPE BORNIER;2023;20237060;Individual;R$ 2,057,607,50;DF;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;MG (UF);06/11/2023
ELICORRÊA FILHO;2023;20239505;Bancada;R$ 1,813,853,65;PR;Atenção Básica à Saúde;Educação Infantil;SC (UF);13/02/2023
DANIEL ALMEIDA FILHO;2023;20236987;Individual;R$ 3,169,120,65;RS;Educação Infantil;Ensino Médio;SP (UF);17/03/2023
ALENCAR SANTANA;2023;20238475;Bancada;R$ 3,928,081,22;BA;Ensino Fundamental;Educação Infantil;SP (UF);02/05/2023
GUILHERME MUSSI;2023;20237062;Comissão;R$ 4,050,909,61;BA;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;DF (UF);12/11/2023
ALENCAR SANTANA;2023;20235140;Individual;R$ 3,793,447,44;GO;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;RS (UF);10/07/2023
ELICORRÊA;2023;20234205;Comissão;R$ 3,625,741,47;BA;Ensino Superior;Ensino Superior;PR (UF);27/02/2023
BACELAR;2023;20234817;Individual;R$ 3,319,572,24;SP;Ensino Superior;Ensino Superior;BA (UF);13/08/2023
HERCÍLIO DINIZ FILHO;2023;20231285;Comissão;R$ 1,066,327,17;DF;Ensino Fundamental;Ensino Fundamental;PE (UF);06/05/2023
ELICORRÊA;2023;20232690;Individual;R$ 1,694,337,73;GO;Educação Infantil;Educação Infantil;RJ (UF);28/06/2023
JULIO CESAR RIBEIRO;2023;20239011;Bancada;R$ 4,322,471,15;GO;Vigilância Epidemiológica;Saneamento Básico;GO (UF);03/01/2023
ELICORRÊA;2023;20231473;Individual;R$ 537,035,89;SC;Assistência Hospitalar e Ambulatorial;Segurança Pública;MG (UF);09/04/2023
DEPUTADO ALENCAR SANTANA;2023;20233562;Bancada;R$ 3,108,945,46;RJ;Segurança Pública;Ensino Médio;SP (UF);16/04/2023
DANIEL ALMEIDA;2023;20237245;Comissão;R$ 490,577,88;SC;Segurança Pública;Educação Infantil;SC (UF);11/10/2023
JULIO CESAR RIBEIRO;2023;20236533;Comissão;R$ 2,903,148,58;RS;Segurança Pública;Vigilância Epidemiológica;DF (UF);07/09/2023
DANIEL ALMEIDA;2023;20235247;Comissão;R$ 903,001,36;RJ;Assistência Hospitalar e Ambulatorial;Segurança Pública;BA (UF);13/05/2023
BACELAR;2023;20231371;Individual;R$ 2,192,501,59;DF;Segurança Pública;Ensino Médio;SC (UF);18/08/2023
CARLOS ZARATTINI FILHO;2023;20233648;Comissão;R$ 3,984,014,25;PR;Infraestrutura Urbana;Infraestrutura Urbana;RJ (UF);23/12/2023
DEPUTADO EDUARDO BARBOSA;2023;20239237;Comissão;R$ 2,543,490,94;RJ;Vigilância Epidemiológica;Ensino Médio;RJ (UF);19/08/2023
GUILHERME MUSSI;2023;20236567;Bancada;R$ 409,557,96;RJ;Educação Infantil;Infraestrutura Urbana;SP (UF);14/09/2023
DEPUTADO ELICORRÊA;2023;20237755;Individual;R$ 4,248,299,32;RS;Educação Infantil;Vigilância Epidemiológica;SC (UF);03/06/2023
EDUARDO BARBOSA;2023;20237087;Comissão;R$ 3,856,791,65;SC;Atenção Básica à Saúde;Ensino Médio;RS (UF);21/05/2023
HERCÍLIO DINIZ;2023;20235250;Bancada;R$ 4,281,838,18;SP;Segurança Pública;Ensino Superior;GO (UF);03/01/2023
GUILHERME MUSSI;2023;20238358;Individual;R$ 3,545,076,56;GO;Atenção Básica à Saúde;Educação Infantil;BA (UF);04/03/2023
DEPUTADO GUILHERME MUSSI;2023;20237479;Bancada;R$ 3,988,875,28;SC;Ensino Superior;Ensino Superior;GO (UF);14/01/2023
EDUARDO BARBOSA FILHO;2023;20237547;Bancada;R$ 1,809,579,87;DF;Assistência Hospitalar e Ambulatorial;Saneamento Básico;GO (UF);23/10/2023
ALENCAR SANTANA;2023;20233533;Bancada;R$ 3,567,072,44;RS;Ensino Médio;Assistência Hospitalar e Ambulatorial;RJ (UF);15/07/2023
DEPUTADO GUILHERME MUSSI;2023;20239145;Bancada;R$ 1,558,107,12;SP;Educação Infantil;Saneamento Básico;SC (UF);08/08/2023
GUILHERME MUSSI;2023;20231581;Comissão;R$ 1,241,054,15;GO;Infraestrutura Urbana;Educação Infantil;SC (UF);03/01/2023
CARLOS ZARATTINI;2023;20238535;Comissão;R$ 4,679,222,23;RJ;Saneamento Básico;Assistência Hospitalar e Ambulatorial;BA (UF);19/08/2023
JULIO CESAR RIBEIRO;2023;20239426;Comissão;R$ 2,235,547,07;PR;Atenção Básica à Saúde;Saneamento Básico;PR (UF);15/05/2023
ELICORRÊA;2023;20239350;Individual;R$ 1,831,434,57;GO;Saneamento Básico;Ensino Fundamental;RS (UF);07/05/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20231121;Comissão;R$ 2,203,255,06;RJ;Atenção Básica à Saúde;Ensino Superior;BA (UF);11/01/2023
DANIEL ALMEIDA;2023;20234508;Bancada;R$ 674,565,63;GO;Infraestrutura Urbana;Ensino Fundamental;SC (UF);23/02/2023
BACELAR;2023;20235310;Bancada;R$ 967,381,23;PR;Saneamento Básico;Infraestrutura Urbana;PR (UF);23/02/2023
ALENCAR SANTANA;2023;20238906;Individual;R$ 1,780,810,91;SP;Ensino Fundamental;Ensino Fundamental;PR (UF);22/01/2023
CARLOS ZARATTINI;2023;20232252;Bancada;R$ 2,298,581,05;PE;Ensino Médio;Educação Infantil;BA (UF);14/04/2023
FELIPE BORNIER;2023;20232586;Individual;R$ 2,156,569,94;PE;Saneamento Básico;Infraestrutura Urbana;PE (UF);25/08/2023
JULIO CESAR RIBEIRO;2023;20237352;Individual;R$ 410,708,72;SP;Ensino Superior;Ensino Fundamental;SP (UF);07/12/2023
HERCÍLIO DINIZ FILHO;2023;20238466;Comissão;R$ 2,765,208,97;GO;Infraestrutura Urbana;Educação Infantil;PR (UF);26/08/2023
HERCÍLIO DINIZ;2023;20231600;Individual;R$ 2,387,662,59;SP;Atenção Básica à Saúde;Educação Infantil;SC (UF);06/06/2023
DANIEL ALMEIDA FILHO;2023;20231234;Bancada;R$ 2,022,559,06;DF;Atenção Básica à Saúde;Ensino Médio;GO (UF);01/05/2023
HERCÍLIO DINIZ;2023;20232413;Individual;R$ 2,651,819,29;SP;Segurança Pública;Saneamento Básico;RJ (UF);02/02/2023
FELIPE BORNIER;2023;20231252;Comissão;R$ 4,364,607,64;RS;Vigilância Epidemiológica;Vigilância Epidemiológica;MG (UF);02/04/2023
EDUARDO BARBOSA FILHO;2023;20238098;Individual;R$ 3,070,570,37;PR;Ensino Médio;Saneamento Básico;RJ (UF);09/01/2023
HERCÍLIO DINIZ;2023;20236743;Individual;R$ 2,581,222,40;SC;Ensino Fundamental;Infraestrutura Urbana;SP (UF);11/11/2023
ALENCAR SANTANA FILHO;2023;20232521;Comissão;R$ 3,508,250,40;DF;Infraestrutura Urbana;Infraestrutura Urbana;RS (UF);24/04/2023
EDUARDO BARBOSA;2023;20239975;Bancada;R$ 3,008,728,64;SP;Ensino Médio;Educação Infantil;SC (UF);18/02/2023
HERCÍLIO DINIZ;2023;20234795;Individual;R$ 1,008,833,09;RJ;Assistência Hospitalar e Ambulatorial;Educação Infantil;PE (UF);09/09/2023
