Autor;Ano;Número Emenda;Tipo Emenda;Valor Empenhado;UF;Função;Subfunção;Localidade do Gasto;Data do Empenho
DANIEL ALMEIDA;2024;20242002;Bancada;R$ 458,317,53;MG;Ensino Fundamental;Ensino Fundamental;PE (UF);27/10/2024
ALENCAR SANTANA;2024;20243140;Comissão;R$ 4,162,113,33;DF;Ensino Superior;Ensino Fundamental;PR (UF);19/05/2024
JULIO CESAR RIBEIRO;2024;20245910;Comissão;R$ 921,980,49;SP;Atenção Básica à Saúde;Infraestrutura Urbana;GO (UF);09/04/2024
JULIO CESAR RIBEIRO;2024;20247745;Individual;R$ 1,735,014,38;PR;Ensino Médio;Saneamento Básico;RJ (UF);07/08/2024
CARLOS ZARATTINI FILHO;2024;20245867;Bancada;R$ 2,957,491,89;PE;Educação Infantil;Ensino Médio;SC (UF);02/10/2024
ELICORRÊA;2024;20247219;Comissão;R$ 4,546,602,54;MG;Assistência Hospitalar e Ambulatorial;Saneamento Básico;RJ (UF);21/11/2024
FELIPE BORNIER;2024;20246935;Bancada;R$ 4,141,857,75;GO;Ensino Médio;Educação Infantil;RS (UF);19/01/2024
HERCÍLIO DINIZ;2024;20244183;Comissão;R$ 4,125,829,53;PE;Infraestrutura Urbana;Saneamento Básico;DF (UF);20/01/2024
GUILHERME MUSSI;2024;20247178;Bancada;R$ 4,979,153,13;RJ;Vigilância Epidemiológica;Saneamento Básico;PE (UF);16/03/2024
HERCÍLIO DINIZ;2024;20246351;Individual;R$ 1,036,499,69;PE;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;RS (UF);02/05/2024
ALENCAR SANTANA;2024;20249050;Comissão;R$ 563,478,09;DF;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;RJ (UF);07/02/2024
HERCÍLIO DINIZ FILHO;2024;20249813;Individual;R$ 4,743,390,38;BA;Ensino Médio;Educação Infantil;RS (UF);17/04/2024
DANIEL ALMEIDA;2024;20245393;Bancada;R$ 1,235,869,33;RJ;Segurança Pública;Ensino Superior;GO (UF);05/09/2024
DANIEL ALMEIDA;2024;20246377;Bancada;R$ 2,460,497,53;RJ;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;SC (UF);06/03/2024
EDUARDO BARBOSA;2024;20242324;Individual;R$ 4,292,935,36;RJ;Ensino Superior;Ensino Superior;RS (UF);10/02/2024
HERCÍLIO DINIZ;2024;20244048;Bancada;R$ 3,622,006,12;MG;Atenção Básica à Saúde;Vigilância Epidemiológica;PE (UF);02/08/2024
HERCÍLIO DINIZ;2024;20244031;Bancada;R$ 2,408,209,36;PR;Ensino Superior;Assistência Hospitalar e Ambulatorial;PR (UF);19/05/2024
DANIEL ALMEIDA;2024;20249449;Individual;R$ 581,746,81;RS;Atenção Básica à Saúde;Segurança Pública;PE (UF);20/10/2024
HERCÍLIO DINIZ;2024;20241011;Comissão;R$ 1,792,722,53;RJ;Atenção Básica à Saúde;Vigilância Epidemiológica;RJ (UF);07/07/2024
HERCÍLIO DINIZ;2024;20244585;Comissão;R$ 3,884,420,89;PE;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;RS (UF);27/10/2024
ALENCAR SANTANA;2024;20249440;Individual;R$ 945,192,95;PR;Assistência Hospitalar e Ambulatorial;Ensino Superior;SP (UF);02/06/2024
JULIO CESAR RIBEIRO;2024;20243713;Comissão;R$ 775,784,64;PE;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;DF (UF);09/11/2024
CARLOS ZARATTINI FILHO;2024;20242064;Bancada;R$ 1,402,204,52;PR;Educação Infantil;Ensino Superior;RJ (UF);01/02/2024
EDUARDO BARBOSA;2024;20243050;Comissão;R$ 4,906,609,12;PR;Educação Infantil;Educação Infantil;SC (UF);13/08/2024
JULIO CESAR RIBEIRO;2024;20249239;Bancada;R$ 530,307,45;SC;Saneamento Básico;Educação Infantil;PR (UF);05/03/2024
DEPUTADO JULIO CESAR RIBEIRO;2024;20249539;Individual;R$ 2,117,594,93;PE;Infraestrutura Urbana;Ensino Fundamental;RJ (UF);11/03/2024
DEPUTADO ALENCAR SANTANA;2024;20244004;Bancada;R$ 4,904,232,20;RS;Educação Infantil;Assistência Hospitalar e Ambulatorial;SP (UF);10/12/2024
BACELAR;2024;20248450;Individual;R$ 283,951,76;GO;Ensino Médio;Assistência Hospitalar e Ambulatorial;PR (UF);08/01/2024
ALENCAR SANTANA;2024;20241923;Comissão;R$ 4,229,093,18;PR;Ensino Superior;Vigilância Epidemiológica;SC (UF);19/11/2024
JULIO CESAR RIBEIRO FILHO;2024;20245280;Individual;R$ 1,699,833,10;SC;Ensino Fundamental;Ensino Fundamental;SP (UF);24/11/2024
DANIEL ALMEIDA;2024;20244116;Bancada;R$ 1,120,942,19;SP;Atenção Básica à Saúde;Ensino Superior;MG (UF);28/05/2024
EDUARDO BARBOSA;2024;20249314;Comissão;R$ 1,146,897,05;PR;Ensino Fundamental;Educação Infantil;RS (UF);01/01/2024
CARLOS ZARATTINI FILHO;2024;20243865;Bancada;R$ 1,921,601,00;PE;Educação Infantil;Vigilância Epidemiológica;SP (UF);22/08/2024
HERCÍLIO DINIZ;2024;20245556;Bancada;R$ 4,723,314,89;GO;Assistência Hospitalar e Ambulatorial;Educação Infantil;RJ (UF);28/07/2024
HERCÍLIO DINIZ;2024;20245807;Individual;R$ 1,951,788,48;DF;Vigilância Epidemiológica;Vigilância Epidemiológica;SC (UF);13/08/2024
BACELAR;2024;20247586;Comissão;R$ 142,295,09;RS;Educação Infantil;Segurança Pública;RJ (UF);20/05/2024
ELICORRÊA;2024;20245959;Bancada;R$ 750,583,84;SC;Saneamento Básico;Atenção Básica à Saúde;BA (UF);25/11/2024
ELICORRÊA;2024;20244673;Comissão;R$ 3,307,073,23;BA;Educação Infantil;Segurança Pública;PR (UF);04/12/2024
EDUARDO BARBOSA;2024;20248063;Bancada;R$ 988,852,64;PE;Infraestrutura Urbana;Saneamento Básico;DF (UF);05/10/2024
EDUARDO BARBOSA;2024;20244200;Comissão;R$ 1,126,030,41;DF;Ensino Médio;Ensino Médio;PE (UF);01/12/2024
DANIEL ALMEIDA;2024;20241256;Comissão;R$ 1,130,571,12;DF;Atenção Básica à Saúde;Atenção Básica à Saúde;RS (UF);28/06/2024
ALENCAR SANTANA;2024;20249216;Comissão;R$ 1,002,380,28;RJ;Infraestrutura Urbana;Ensino Fundamental;GO (UF);19/07/2024
GUILHERME MUSSI FILHO;2024;20245706;Individual;R$ 457,231,74;MG;Segurança Pública;Segurança Pública;PE (UF);20/01/2024
ELICORRÊA;2024;20243544;Bancada;R$ 3,193,531,19;PR;Atenção Básica à Saúde;Atenção Básica à Saúde;PR (UF);06/04/2024
DEPUTADO HERCÍLIO DINIZ;2024;20242904;Comissão;R$ 4,845,071,39;SC;Ensino Fundamental;Atenção Básica à Saúde;BA (UF);20/08/2024
DANIEL ALMEIDA;2024;20244227;Comissão;R$ 1,898,723,36;RS;Saneamento Básico;Atenção Básica à Saúde;RS (UF);03/10/2024
ALENCAR SANTANA FILHO;2024;20241312;Bancada;R$ 3,239,240,24;SC;Ensino Médio;Ensino Fundamental;RS (UF);07/02/2024
FELIPE BORNIER FILHO;2024;20245776;Comissão;R$ 2,139,555,19;DF;Saneamento Básico;Saneamento Básico;BA (UF);02/07/2024
DEPUTADO HERCÍLIO DINIZ;2024;20245336;Individual;R$ 89,250,57;PR;Saneamento Básico;Ensino Médio;PR (UF);22/06/2024
ELICORRÊA FILHO;2024;20243078;Individual;R$ 3,544,775,12;MG;Atenção Básica à Saúde;Atenção Básica à Saúde;PR (UF);17/10/2024
DANIEL ALMEIDA;2024;20245148;Comissão;R$ 2,352,186,52;DF;Ensino Médio;Ensino Superior;PE (UF);03/06/2024
DANIEL ALMEIDA;2024;20242498;Comissão;R$ 333,081,86;RS;Saneamento Básico;Ensino Fundamental;PR (UF);08/07/2024
ALENCAR SANTANA FILHO;2024;20246170;Bancada;R$ 4,296,800,85;SP;Educação Infantil;Atenção Básica à Saúde;SC (UF);03/08/2024
DEPUTADO BACELAR;2024;20241159;Bancada;R$ 1,108,592,67;SP;Infraestrutura Urbana;Segurança Pública;SC (UF);05/09/2024
DANIEL ALMEIDA;2024;20247109;Bancada;R$ 1,837,865,31;PE;Vigilância Epidemiológica;Ensino Médio;RS (UF);08/11/2024
EDUARDO BARBOSA;2024;20248265;Comissão;R$ 629,286,53;RS;Saneamento Básico;Ensino Superior;SP (UF);11/11/2024
HERCÍLIO DINIZ;2024;20249090;Comissão;R$ 3,466,012,89;GO;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;GO (UF);26/01/2024
GUILHERME MUSSI;2024;20245347;Individual;R$ 3,172,347,00;BA;Infraestrutura Urbana;Atenção Básica à Saúde;PE (UF);06/05/2024
CARLOS ZARATTINI;2024;20249795;Bancada;R$ 4,650,459,85;MG;Segurança Pública;Segurança Pública;RS (UF);07/10/2024
CARLOS ZARATTINI FILHO;2024;20243067;Bancada;R$ 2,201,502,61;SC;Ensino Superior;Saneamento Básico;PE (UF);28/03/2024
CARLOS ZARATTINI;2024;20247288;Bancada;R$ 4,479,015,44;RJ;Ensino Superior;Saneamento Básico;DF (UF);13/02/2024
CARLOS ZARATTINI;2024;20243173;Comissão;R$ 1,440,613,99;SC;Saneamento Básico;Atenção Básica à Saúde;RJ (UF);13/11/2024
DEPUTADO HERCÍLIO DINIZ;2024;20246148;Comissão;R$ 1,227,805,15;DF;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;RJ (UF);10/08/2024
JULIO CESAR RIBEIRO;2024;20242099;Comissão;R$ 2,914,594,13;SP;Atenção Básica à Saúde;Vigilância Epidemiológica;MG (UF);08/05/2024
DEPUTADO GUILHERME MUSSI;2024;20242755;Individual;R$ 2,466,293,17;PR;Atenção Básica à Saúde;Ensino Fundamental;MG (UF);08/06/2024
BACELAR;2024;20246842;Comissão;R$ 1,483,069,03;MG;Vigilância Epidemiológica;Vigilância Epidemiológica;GO (UF);22/02/2024
DEPUTADO FELIPE BORNIER;2024;20243887;Individual;R$ 2,914,181,90;DF;Assistência Hospitalar e Ambulatorial;Saneamento Básico;SC (UF);16/01/2024
GUILHERME MUSSI;2024;20245400;Bancada;R$ 2,959,000,61;DF;Segurança Pública;Atenção Básica à Saúde;PR (UF);24/07/2024
ELICORRÊA;2024;20244287;Bancada;R$ 1,546,967,78;RS;Segurança Pública;Segurança Pública;RS (UF);01/04/2024
GUILHERME MUSSI;2024;20248695;Individual;R$ 4,633,786,89;PE;Atenção Básica à Saúde;Segurança Pública;DF (UF);23/11/2024
CARLOS ZARATTINI;2024;20248964;Bancada;R$ 4,436,798,06;MG;Ensino Médio;Atenção Básica à Saúde;RS (UF);07/09/2024
ELICORRÊA;2024;20242767;Individual;R$ 4,493,736,19;GO;Ensino Fundamental;Ensino Médio;RS (UF);11/10/2024
EDUARDO BARBOSA;2024;20247837;Individual;R$ 2,290,168,09;PE;Ensino Fundamental;Ensino Fundamental;SC (UF);17/06/2024
FELIPE BORNIER FILHO;2024;20247025;Bancada;R$ 2,509,404,08;PE;Educação Infantil;Educação Infantil;SC (UF);26/06/2024
EDUARDO BARBOSA;2024;20247734;Individual;R$ 2,615,082,17;GO;Saneamento Básico;Segurança Pública;MG (UF);12/03/2024
ALENCAR SANTANA;2024;20247224;Individual;R$ 4,315,785,93;GO;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;SP (UF);02/05/2024
HERCÍLIO DINIZ;2024;20247238;Bancada;R$ 1,378,994,05;PR;Saneamento Básico;Infraestrutura Urbana;RJ (UF);10/06/2024
HERCÍLIO DINIZ FILHO;2024;20243110;Individual;R$ 2,878,225,30;MG;Vigilância Epidemiológica;Atenção Básica à Saúde;PR (UF);18/01/2024
HERCÍLIO DINIZ;2024;20246909;Individual;R$ 1,517,550,96;SP;Atenção Básica à Saúde;Ensino Médio;MG (UF);19/02/2024
HERCÍLIO DINIZ;2024;20244649;Bancada;R$ 1,933,284,76;SC;Ensino Médio;Infraestrutura Urbana;SC (UF);25/06/2024
DEPUTADO GUILHERME MUSSI;2024;20249819;Comissão;R$ 775,634,16;GO;Ensino Médio;Ensino Médio;SP (UF);08/08/2024
BACELAR FILHO;2024;20244116;Individual;R$ 4,669,760,55;RS;Ensino Médio;Ensino Fundamental;SP (UF);07/04/2024
DEPUTADO ALENCAR SANTANA;2024;20246890;Comissão;R$ 1,763,018,05;BA;Segurança Pública;Infraestrutura Urbana;DF (UF);09/02/2024
CARLOS ZARATTINI;2024;20245094;Individual;R$ 3,871,003,56;DF;Ensino Médio;Ensino Médio;MG (UF);20/08/2024
DANIEL ALMEIDA;2024;20243882;Bancada;R$ 1,024,481,29;GO;Saneamento Básico;Atenção Básica à Saúde;SC (UF);16/03/2024
HERCÍLIO DINIZ;2024;20242134;Comissão;R$ 4,218,392,19;RS;Vigilância Epidemiológica;Atenção Básica à Saúde;SC (UF);04/06/2024
GUILHERME MUSSI;2024;20249075;Individual;R$ 4,259,337,76;BA;Segurança Pública;Educação Infantil;MG (UF);09/06/2024
JULIO CESAR RIBEIRO;2024;20246491;Bancada;R$ 3,710,419,26;PR;Ensino Superior;Infraestrutura Urbana;MG (UF);08/09/2024
ELICORRÊA;2024;20247528;Individual;R$ 3,387,903,17;RJ;Educação Infantil;Ensino Fundamental;DF (UF);20/10/2024
ELICORRÊA FILHO;2024;20249252;Comissão;R$ 1,592,409,83;RS;Ensino Fundamental;Atenção Básica à Saúde;PR (UF);01/05/2024
HERCÍLIO DINIZ;2024;20245835;Comissão;R$ 2,683,486,72;PR;Infraestrutura Urbana;Segurança Pública;BA (UF);25/02/2024
DANIEL ALMEIDA FILHO;2024;20248969;Individual;R$ 3,465,698,62;MG;Saneamento Básico;Infraestrutura Urbana;PR (UF);04/12/2024
DEPUTADO BACELAR;2024;20248272;Comissão;R$ 2,726,243,66;RJ;Infraestrutura Urbana;Ensino Médio;SP (UF);22/12/2024
CARLOS ZARATTINI;2024;20244731;Individual;R$ 3,461,714,37;DF;Ensino Médio;Ensino Médio;PE (UF);22/02/2024
HERCÍLIO DINIZ FILHO;2024;20249488;Bancada;R$ 4,968,605,53;PR;Infraestrutura Urbana;Segurança Pública;RS (UF);10/08/2024
ALENCAR SANTANA;2024;20244157;Bancada;R$ 4,293,300,42;PE;Atenção Básica à Saúde;Vigilância Epidemiológica;PR (UF);22/09/2024
FELIPE BORNIER;2024;20249930;Comissão;R$ 3,615,541,58;RS;Ensino Fundamental;Infraestrutura Urbana;BA (UF);13/04/2024
HERCÍLIO DINIZ;2024;20243902;Bancada;R$ 1,253,366,09;DF;Infraestrutura Urbana;Ensino Médio;PE (UF);10/06/2024
BACELAR;2024;20241861;Individual;R$ 2,135,163,69;PE;Segurança Pública;Vigilância Epidemiológica;MG (UF);03/10/2024
CARLOS ZARATTINI;2024;20245874;Comissão;R$ 1,141,394,02;SP;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;RJ (UF);07/02/2024
JULIO CESAR RIBEIRO;2024;20247418;Comissão;R$ 337,317,89;RS;Atenção Básica à Saúde;Segurança Pública;PE (UF);04/08/2024
DEPUTADO EDUARDO BARBOSA;2024;20242652;Individual;R$ 540,726,64;MG;Ensino Médio;Saneamento Básico;RJ (UF);26/08/2024
FELIPE BORNIER;2024;20241702;Bancada;R$ 4,496,298,23;BA;Ensino Médio;Ensino Médio;PE (UF);25/08/2024
GUILHERME MUSSI;2024;20246770;Bancada;R$ 637,351,99;RJ;Educação Infantil;Ensino Superior;SP (UF);17/07/2024
EDUARDO BARBOSA FILHO;2024;20248670;Comissão;R$ 4,678,477,00;PR;Ensino Superior;Atenção Básica à Saúde;PE (UF);16/12/2024
BACELAR;2024;20249390;Individual;R$ 2,262,935,28;SP;Infraestrutura Urbana;Atenção Básica à Saúde;RJ (UF);19/02/2024
BACELAR;2024;20242050;Individual;R$ 4,902,773,18;RS;Ensino Médio;Atenção Básica à Saúde;SC (UF);23/10/2024
ALENCAR SANTANA;2024;20245151;Bancada;R$ 376,579,12;DF;Ensino Superior;Atenção Básica à Saúde;DF (UF);23/07/2024
ELICORRÊA FILHO;2024;20248054;Bancada;R$ 4,216,600,76;SP;Infraestrutura Urbana;Ensino Médio;PR (UF);06/11/2024
ALENCAR SANTANA;2024;20246717;Comissão;R$ 2,608,971,28;SC;Saneamento Básico;Segurança Pública;GO (UF);07/02/2024
ELICORRÊA;2024;20241804;Bancada;R$ 1,619,234,05;DF;Atenção Básica à Saúde;Ensino Superior;RS (UF);28/09/2024
DEPUTADO CARLOS ZARATTINI;2024;20245954;Individual;R$ 1,233,479,19;MG;Segurança Pública;Ensino Fundamental;PR (UF);15/12/2024
BACELAR;2024;20249168;Comissão;R$ 572,620,79;GO;Educação Infantil;Saneamento Básico;SC (UF);22/08/2024
CARLOS ZARATTINI;2024;20245645;Individual;R$ 4,590,568,00;GO;Saneamento Básico;Ensino Médio;SC (UF);07/10/2024
HERCÍLIO DINIZ;2024;20242693;Comissão;R$ 1,518,234,34;MG;Educação Infantil;Ensino Superior;SC (UF);09/02/2024
EDUARDO BARBOSA;2024;20241161;Bancada;R$ 582,583,64;RJ;Segurança Pública;Ensino Fundamental;SP (UF);13/03/2024
ALENCAR SANTANA FILHO;2024;20245510;Individual;R$ 104,153,79;SC;Atenção Básica à Saúde;Ensino Superior;DF (UF);21/02/2024
JULIO CESAR RIBEIRO;2024;20244480;Comissão;R$ 2,627,384,13;DF;Atenção Básica à Saúde;Saneamento Básico;RJ (UF);15/12/2024
ELICORRÊA;2024;20245386;Bancada;R$ 1,964,122,27;BA;Atenção Básica à Saúde;Segurança Pública;MG (UF);24/06/2024
EDUARDO BARBOSA;2024;20247991;Individual;R$ 4,086,161,02;RS;Saneamento Básico;Ensino Médio;RS (UF);01/11/2024
ELICORRÊA FILHO;2024;20249989;Bancada;R$ 3,491,696,92;RS;Vigilância Epidemiológica;Saneamento Básico;GO (UF);28/07/2024
DANIEL ALMEIDA;2024;20242484;Bancada;R$ 3,276,607,69;PE;Segurança Pública;Ensino Superior;PE (UF);05/03/2024
ALENCAR SANTANA;2024;20241688;Comissão;R$ 1,999,534,98;SP;Ensino Médio;Ensino Médio;PR (UF);20/06/2024
DEPUTADO BACELAR;2024;20244496;Bancada;R$ 394,459,27;RJ;Ensino Superior;Ensino Superior;DF (UF);26/10/2024
GUILHERME MUSSI;2024;20247158;Comissão;R$ 2,170,446,24;GO;Ensino Superior;Ensino Médio;GO (UF);12/03/2024
ELICORRÊA;2024;20247323;Individual;R$ 4,354,645,41;MG;Educação Infantil;Educação Infantil;SC (UF);17/01/2024
HERCÍLIO DINIZ FILHO;2024;20242765;Bancada;R$ 1,369,868,01;RJ;Saneamento Básico;Infraestrutura Urbana;RS (UF);23/05/2024
CARLOS ZARATTINI;2024;20242209;Individual;R$ 3,380,311,82;MG;Atenção Básica à Saúde;Saneamento Básico;PE (UF);15/01/2024
JULIO CESAR RIBEIRO;2024;20249142;Comissão;R$ 4,380,072,36;RS;Assistência Hospitalar e Ambulatorial;Segurança Pública;MG (UF);22/09/2024
ALENCAR SANTANA FILHO;2024;20245623;Bancada;R$ 2,269,460,32;RS;Infraestrutura Urbana;Ensino Superior;SC (UF);19/06/2024
DEPUTADO FELIPE BORNIER;2024;20244685;Individual;R$ 2,688,917,24;DF;Ensino Médio;Atenção Básica à Saúde;BA (UF);27/05/2024
BACELAR;2024;20246092;Bancada;R$ 2,582,270,43;SC;Infraestrutura Urbana;Infraestrutura Urbana;RJ (UF);12/05/2024
FELIPE BORNIER;2024;20248927;Bancada;R$ 378,334,95;BA;Infraestrutura Urbana;Atenção Básica à Saúde;MG (UF);27/09/2024
DEPUTADO CARLOS ZARATTINI;2024;20245640;Individual;R$ 1,673,501,01;SP;Ensino Superior;Saneamento Básico;SP (UF);17/05/2024
FELIPE BORNIER;2024;20243468;Bancada;R$ 2,467,568,86;SP;Atenção Básica à Saúde;Ensino Superior;RS (UF);22/10/2024
EDUARDO BARBOSA;2024;20247103;Individual;R$ 2,009,108,64;GO;Ensino Superior;Ensino Médio;BA (UF);24/02/2024
DEPUTADO JULIO CESAR RIBEIRO;2024;20245820;Bancada;R$ 1,455,836,54;RJ;Saneamento Básico;Vigilância Epidemiológica;RJ (UF);22/12/2024
DEPUTADO GUILHERME MUSSI;2024;20243427;Comissão;R$ 646,518,09;BA;Ensino Médio;Saneamento Básico;PR (UF);13/10/2024
FELIPE BORNIER FILHO;2024;20244879;Comissão;R$ 2,017,172,67;BA;Ensino Fundamental;Vigilância Epidemiológica;BA (UF);13/01/2024
DEPUTADO HERCÍLIO DINIZ;2024;20248982;Comissão;R$ 2,646,198,48;PE;Saneamento Básico;Ensino Superior;RJ (UF);21/07/2024
DANIEL ALMEIDA;2024;20242922;Individual;R$ 4,675,816,96;DF;Atenção Básica à Saúde;Vigilância Epidemiológica;SC (UF);05/05/2024
EDUARDO BARBOSA;2024;20249598;Comissão;R$ 1,568,655,29;GO;Ensino Superior;Ensino Médio;GO (UF);10/08/2024
FELIPE BORNIER;2024;20248847;Individual;R$ 3,318,772,47;RS;Ensino Superior;Ensino Fundamental;RJ (UF);20/11/2024
FELIPE BORNIER;2024;20242245;Bancada;R$ 1,391,472,51;DF;Infraestrutura Urbana;Vigilância Epidemiológica;SC (UF);15/11/2024
BACELAR;2024;20243720;Comissão;R$ 1,570,585,64;GO;Saneamento Básico;Vigilância Epidemiológica;MG (UF);27/10/2024
GUILHERME MUSSI FILHO;2024;20244574;Individual;R$ 1,049,037,90;DF;Infraestrutura Urbana;Ensino Superior;MG (UF);04/05/2024
HERCÍLIO DINIZ;2024;20243221;Bancada;R$ 1,408,955,37;GO;Ensino Médio;Vigilância Epidemiológica;PR (UF);12/08/2024
DANIEL ALMEIDA;2024;20241737;Individual;R$ 1,925,432,72;RS;Ensino Médio;Ensino Médio;MG (UF);09/06/2024
ELICORRÊA;2024;20243231;Comissão;R$ 27,520,34;RJ;Ensino Superior;Ensino Fundamental;DF (UF);28/05/2024
JULIO CESAR RIBEIRO;2024;20247455;Comissão;R$ 2,862,971,12;RS;Saneamento Básico;Assistência Hospitalar e Ambulatorial;PE (UF);20/03/2024
DEPUTADO GUILHERME MUSSI;2024;20244687;Individual;R$ 4,973,882,31;PR;Ensino Superior;Vigilância Epidemiológica;GO (UF);23/04/2024
FELIPE BORNIER FILHO;2024;20249522;Individual;R$ 164,488,32;RS;Infraestrutura Urbana;Educação Infantil;DF (UF);21/02/2024
GUILHERME MUSSI FILHO;2024;20241125;Comissão;R$ 4,538,062,45;BA;Educação Infantil;Ensino Superior;BA (UF);12/07/2024
DEPUTADO JULIO CESAR RIBEIRO;2024;20245035;Individual;R$ 1,987,134,28;RJ;Educação Infantil;Infraestrutura Urbana;MG (UF);15/11/2024
GUILHERME MUSSI;2024;20245117;Comissão;R$ 133,013,78;RS;Saneamento Básico;Ensino Superior;SP (UF);02/02/2024
JULIO CESAR RIBEIRO;2024;20245970;Individual;R$ 1,762,055,69;RJ;Segurança Pública;Segurança Pública;MG (UF);11/06/2024
BACELAR;2024;20248647;Individual;R$ 1,172,890,09;MG;Ensino Superior;Ensino Médio;PR (UF);18/03/2024
HERCÍLIO DINIZ FILHO;2024;20248233;Individual;R$ 962,320,36;RJ;Segurança Pública;Atenção Básica à Saúde;SC (UF);21/08/2024
DANIEL ALMEIDA;2024;20244629;Comissão;R$ 3,328,340,43;RJ;Atenção Básica à Saúde;Educação Infantil;SC (UF);28/04/2024
BACELAR;2024;20246318;Comissão;R$ 2,107,291,25;MG;Ensino Fundamental;Segurança Pública;SC (UF);07/09/2024
ALENCAR SANTANA;2024;20245004;Bancada;R$ 3,551,127,58;SP;Educação Infantil;Infraestrutura Urbana;BA (UF);10/04/2024
DEPUTADO GUILHERME MUSSI;2024;20245475;Comissão;R$ 1,232,455,11;DF;Infraestrutura Urbana;Segurança Pública;PE (UF);21/03/2024
ELICORRÊA;2024;20243182;Bancada;R$ 2,182,002,46;PR;Saneamento Básico;Ensino Superior;SP (UF);12/05/2024
DEPUTADO GUILHERME MUSSI;2024;20242993;Individual;R$ 2,369,178,04;RJ;Atenção Básica à Saúde;Ensino Superior;SC (UF);10/03/2024
GUILHERME MUSSI FILHO;2024;20241486;Comissão;R$ 2,253,400,14;BA;Ensino Superior;Atenção Básica à Saúde;PE (UF);12/10/2024
CARLOS ZARATTINI;2024;20246997;Comissão;R$ 654,178,81;PE;Saneamento Básico;Atenção Básica à Saúde;PE (UF);22/04/2024
